soil_moisture,airTemperature,cloudCover,humidity,precipitation,waterTemperature,windSpeed,irrigar,tempo_bomba
58,18,72,52,5,35,1,0,0
47,18,96,45,3,23,1,0,0
11,32,55,77,2,24,2,0,0
52,19,29,54,1,24,0,0,0
59,26,50,69,4,21,1,0,0
41,25,95,87,3,32,4,0,0
18,27,20,52,5,32,4,0,0
55,22,65,80,4,21,0,0,0
27,21,14,75,0,27,5,1,15
53,20,7,58,5,23,1,0,0
41,29,9,85,3,21,4,0,0
43,16,26,53,1,29,4,0,0
44,28,37,67,3,25,3,0,0
16,31,11,60,1,35,4,0,0
50,14,2,82,1,28,0,0,0
46,24,29,52,4,30,2,0,0
52,13,19,41,4,37,4,0,0
35,16,1,45,4,37,3,0,0
59,14,51,61,0,27,1,1,10
34,11,81,77,0,35,1,0,0
39,18,66,56,0,23,1,1,8
60,29,91,56,0,31,0,0,0
33,11,77,77,0,33,5,1,15
52,24,61,50,0,26,3,1,15
25,35,35,59,0,39,2,1,17
60,22,55,53,0,31,1,0,0
49,20,90,43,0,40,5,0,0
51,23,9,79,0,35,2,0,0
47,30,18,67,0,38,3,1,14
23,32,3,87,0,23,3,1,16
52,13,37,54,0,21,4,1,14
52,16,38,47,0,39,5,1,14
49,36,62,52,0,35,2,1,8
45,16,35,84,0,40,0,0,0
19,11,23,50,0,37,3,0,0
13,25,51,71,0,31,2,1,17
24,27,18,55,0,21,0,1,15
52,25,26,59,0,22,0,1,9
26,28,24,56,0,23,3,1,17
17,18,37,55,0,26,4,0,0
57,25,42,76,0,28,1,0,0
22,16,57,40,0,40,5,1,9
27,19,47,51,0,39,0,1,11
45,21,56,76,0,29,4,1,13
32,10,64,56,0,31,5,1,5
15,24,89,57,0,37,5,1,18
53,14,99,70,0,39,1,1,7
27,15,17,74,0,20,5,0,0
37,35,80,58,0,31,3,1,10
39,12,78,40,0,26,1,1,11
50,32,22,64,0,36,0,1,13
57,15,33,61,0,30,4,0,0
58,31,64,45,0,30,1,0,0
11,25,36,67,0,20,3,1,10
36,15,9,63,0,25,1,0,0
59,12,46,62,0,23,4,0,0
52,33,32,87,0,29,0,0,0
11,14,19,47,0,27,5,0,0
31,21,77,90,0,37,1,0,0
12,26,10,54,0,34,3,1,18
49,17,83,87,0,23,3,0,0
33,19,65,62,0,21,1,0,0
49,20,6,69,0,20,1,1,7
35,11,36,42,0,30,0,0,0
38,24,85,85,0,25,2,0,0
40,29,3,66,0,20,2,1,9
26,20,17,45,0,40,3,0,0
50,26,89,82,0,30,1,0,0
12,24,46,70,0,26,3,1,16
35,19,9,72,0,34,4,1,9
22,17,17,58,0,38,2,1,15
12,10,2,58,0,34,5,0,0
51,32,28,70,0,22,1,1,14
17,16,100,76,0,23,0,0,0
24,15,61,77,0,30,1,0,0
11,33,61,52,0,25,0,1,17
18,11,95,87,0,21,0,0,0
56,26,6,65,0,24,2,0,0
33,27,5,64,0,39,2,0,0
59,25,41,77,0,20,0,1,13
48,31,16,58,0,31,0,1,5
59,29,78,60,0,28,5,1,10
52,35,8,46,0,32,5,1,9
17,22,85,48,0,37,0,1,20
38,30,72,89,0,20,1,0,0
52,21,98,57,0,23,1,0,0
41,31,36,56,0,21,2,0,0
23,36,78,85,0,34,4,1,17
31,20,38,41,0,23,5,0,0
43,25,87,67,0,36,2,0,0
16,24,58,58,0,36,2,1,18
13,27,48,64,0,37,2,1,14
15,16,43,43,0,34,3,0,0
53,15,56,67,0,34,2,1,11
50,19,51,57,0,37,0,0,0
14,24,86,48,0,23,3,1,20
39,32,27,79,0,33,0,0,0
27,18,43,41,0,21,2,0,0
37,33,52,47,0,37,5,0,0
31,16,49,42,0,22,3,0,0
14,36,24,71,0,25,4,1,18
21,33,84,86,0,24,0,1,18
50,23,69,47,0,36,1,1,5
18,36,41,73,0,33,5,1,10
39,22,55,74,0,31,1,1,11
56,13,70,50,0,21,2,0,0
57,14,40,45,0,24,2,0,0
50,19,26,82,0,29,1,0,0
38,11,84,52,0,28,3,1,9
28,15,46,64,0,25,2,0,0
33,21,23,69,0,28,2,0,0
28,28,14,69,0,39,4,1,11
24,31,37,78,0,31,0,1,15
30,27,15,43,0,33,5,1,13
36,29,99,70,0,32,4,1,8
59,34,9,77,0,39,4,1,7
22,28,21,72,0,30,5,1,12
15,31,70,56,0,36,2,1,19
54,19,21,52,0,31,4,0,0
20,32,7,79,0,39,0,1,19
24,16,97,71,0,25,3,1,13
17,19,14,47,0,26,3,0,0
33,36,26,85,0,21,3,0,0
41,23,56,63,0,29,2,0,0
44,20,15,85,0,35,5,0,0
19,35,100,41,0,36,0,1,14
47,13,8,58,0,24,2,0,0
24,19,51,66,0,39,2,1,10
38,15,31,83,0,40,1,0,0
52,20,13,60,0,39,0,1,8
28,33,8,46,0,20,2,1,14
26,32,2,49,0,25,3,1,17
22,12,23,42,0,21,1,0,0
15,20,63,41,0,29,4,0,0
57,15,70,84,0,26,2,0,0
14,13,82,43,0,27,2,1,6
35,18,48,45,0,32,1,1,9
27,16,41,63,0,36,2,0,0
30,21,6,77,0,28,1,0,0
47,16,61,83,0,32,1,0,0
49,29,21,43,0,28,4,0,0
38,36,5,87,0,31,2,0,0
44,20,20,62,0,34,0,1,10
56,32,90,64,0,40,2,0,0
53,15,42,82,0,39,0,0,0
23,23,37,61,0,22,3,1,15
47,15,100,72,0,24,0,1,9
35,10,17,43,0,22,1,0,0
45,11,31,57,0,33,1,0,0
36,29,74,59,0,24,3,1,6
17,33,0,46,0,20,1,1,17
58,18,39,79,0,28,4,0,0
15,23,68,89,0,27,1,1,19
18,13,67,62,0,33,1,1,12
16,10,72,65,0,40,4,0,0
20,34,14,67,0,22,1,1,16
33,24,53,68,0,29,5,1,6
14,13,75,58,0,32,0,0,0
48,17,72,65,0,24,3,0,0
27,27,91,42,0,29,2,1,19
49,21,44,45,0,40,5,1,15
50,11,80,71,0,40,3,0,0
13,31,99,40,0,37,4,1,17
26,28,19,56,0,22,3,1,16
37,18,99,46,0,26,1,1,7
26,34,51,45,0,32,5,1,18
44,23,69,78,0,40,5,0,0
32,33,61,76,0,37,3,0,0
29,32,95,70,0,27,0,1,14
35,14,59,75,0,30,4,0,0
28,24,41,40,0,37,5,1,11
57,12,34,59,0,34,2,0,0
25,35,56,82,0,20,4,1,15
37,10,17,87,0,40,3,0,0
29,10,78,47,0,23,4,0,0
30,22,35,88,0,37,0,0,0
32,10,62,75,0,32,2,1,11
44,14,53,67,0,31,0,0,0
50,16,16,50,0,36,1,1,8
18,29,53,82,0,38,1,1,11
21,20,21,40,0,30,0,1,12
48,23,12,58,0,20,4,0,0
26,12,58,41,0,33,1,0,0
56,14,32,41,0,37,0,0,0
48,19,24,48,0,29,5,1,6
38,22,84,49,0,40,0,1,5
49,12,7,50,0,29,3,0,0
43,19,26,67,0,40,2,1,8
15,17,28,82,0,28,1,0,0
26,32,48,68,0,38,5,1,20
22,19,50,46,0,39,0,1,7
60,36,43,55,0,23,3,1,5
10,16,84,50,0,21,1,1,8
31,10,2,66,0,33,2,0,0
48,15,65,60,0,37,3,0,0
10,15,34,57,0,36,5,0,0
21,29,100,65,0,39,5,1,12
15,16,13,85,0,22,0,0,0
35,15,16,58,0,24,3,1,8
35,19,40,45,0,22,3,1,6
20,34,27,61,0,21,3,1,10
16,14,52,59,0,26,1,1,10
36,20,11,68,0,28,0,0,0
51,35,11,80,0,28,0,0,0
44,30,9,52,0,40,4,1,7
40,24,37,42,0,27,3,0,0
40,19,8,47,0,24,5,0,0
41,13,49,77,0,40,5,0,0
47,17,32,40,0,25,4,0,0
22,21,42,75,0,34,2,1,11
59,32,6,67,0,21,2,0,0
21,28,52,43,0,29,1,1,20
59,17,95,45,0,32,4,1,14
36,13,0,57,0,39,3,0,0
31,23,44,51,0,28,1,1,5
36,13,38,62,0,20,3,0,0
24,31,19,47,0,39,3,1,17
41,17,73,56,0,25,2,0,0
50,11,71,86,0,23,3,0,0
48,22,49,71,0,40,2,1,5
39,36,9,76,0,40,0,1,5
14,15,47,75,0,20,4,0,0
27,13,78,73,0,35,0,1,5
26,28,81,60,0,36,1,1,17
33,30,74,49,0,38,4,0,0
24,35,32,54,0,36,5,1,12
45,19,17,80,0,32,4,1,11
39,17,26,71,0,33,3,0,0
19,32,20,47,0,28,2,1,16
36,23,1,79,0,40,3,0,0
32,17,2,51,0,35,0,0,0
10,28,21,46,0,21,5,1,18
54,17,20,65,0,27,4,1,8
45,29,62,81,0,29,3,0,0
52,16,92,79,0,35,2,1,15
39,14,72,40,0,25,2,0,0
50,33,10,64,0,24,1,1,14
58,32,74,66,0,40,2,0,0
56,24,87,86,0,27,0,0,0
33,34,37,88,0,29,4,0,0
38,18,94,69,0,39,2,1,7
19,22,52,79,0,32,5,1,19
60,28,38,86,0,24,4,0,0
32,19,0,78,0,34,5,1,13
34,36,73,75,0,35,0,1,11
35,24,1,75,0,30,2,1,12
18,16,34,68,0,21,0,1,13
37,33,27,88,0,27,0,0,0
22,32,64,71,0,40,0,1,14
42,18,98,50,0,24,1,0,0
26,24,28,87,0,29,4,1,14
21,27,17,56,0,24,0,1,11
45,13,99,64,0,32,2,0,0
37,11,68,47,0,28,4,1,11
30,23,69,56,0,34,5,0,0
12,24,45,42,0,20,4,1,12
38,14,58,64,0,36,4,0,0
38,31,16,77,0,30,1,1,13
51,21,72,79,0,28,2,1,5
54,24,9,79,0,30,3,1,8
31,18,98,56,0,26,5,1,9
48,26,0,63,0,26,2,1,9
22,29,46,64,0,27,1,1,16
28,21,100,61,0,23,4,1,13
42,31,78,68,0,23,1,1,5
46,23,82,67,0,25,0,1,9
17,27,27,71,0,21,1,1,16
10,30,34,84,0,21,1,1,10
36,12,17,56,0,20,4,1,10
57,18,13,44,0,35,0,1,14
23,20,55,66,0,27,2,1,7
60,34,47,52,0,30,5,0,0
13,16,35,56,0,20,0,1,15
38,33,15,63,0,36,1,1,13
45,22,44,63,0,28,0,1,9
40,16,56,60,0,38,4,1,6
26,20,67,41,0,31,0,0,0
57,22,33,54,0,25,0,0,0
52,16,79,55,0,34,1,0,0
44,23,49,55,0,28,0,1,10
27,36,11,88,0,38,4,1,11
13,14,72,46,0,33,4,1,8
36,13,22,61,0,39,1,1,15
22,29,66,59,0,34,1,1,12
50,34,58,45,0,25,2,0,0
33,35,41,61,0,23,1,0,0
45,23,60,59,0,24,4,0,0
31,33,59,76,0,39,3,0,0
22,18,9,87,0,27,2,0,0
18,16,38,67,0,37,4,0,0
19,29,4,83,0,34,2,1,11
37,10,1,64,0,35,4,0,0
28,25,59,58,0,39,5,1,10
58,34,17,74,0,21,5,0,0
43,20,35,86,0,39,2,0,0
26,26,78,42,0,35,5,1,10
45,31,9,75,0,28,3,0,0
20,21,19,52,0,21,2,1,17
57,35,14,58,0,24,5,1,6
20,36,16,52,0,25,0,1,20
38,16,88,59,0,37,5,0,0
22,23,61,84,0,39,4,1,20
12,24,76,53,0,23,2,1,14
25,16,14,84,0,34,4,0,0
21,20,82,70,0,36,1,0,0
27,17,20,84,0,39,5,0,0
38,30,45,73,0,22,2,0,0
11,32,25,43,0,30,1,1,18
32,16,82,76,0,29,5,1,7
19,12,58,84,0,37,2,0,0
44,26,42,72,0,39,0,0,0
14,25,38,71,0,35,1,1,10
17,34,90,70,0,26,5,1,10
52,34,74,54,0,33,5,0,0
23,29,4,63,0,28,4,1,11
24,34,89,45,0,30,3,1,20
51,28,26,76,0,27,1,1,15
22,34,5,75,0,39,4,1,12
