soil_moisture,airTemperature,cloudCover,humidity,precipitation,waterTemperature,windSpeed,irrigar,tempo_bomba
42,13,29,77,4,29,1,0,0
18,11,59,69,5,35,3,0,0
52,25,36,59,1,35,5,0,0
17,34,94,80,3,32,2,0,0
11,30,21,46,0,21,2,0,0
28,27,97,61,5,29,0,0,0
59,31,66,46,0,28,5,0,0
39,16,6,70,2,28,3,0,0
36,32,11,90,0,30,2,0,0
13,14,51,45,1,27,1,0,0
48,27,3,59,1,40,5,1,15
17,17,79,45,3,34,1,0,0
38,14,74,83,5,36,5,0,0
29,10,66,61,3,35,2,0,0
40,16,17,66,2,29,0,1,11
48,20,36,57,4,38,3,0,0
14,10,75,71,0,38,1,1,8
44,11,33,47,3,40,5,0,0
37,20,69,51,3,35,4,0,0
16,35,68,53,4,28,3,0,0
60,30,91,83,3,24,3,0,0
39,22,80,82,1,28,3,0,0
38,35,2,43,1,22,5,0,0
29,30,19,67,4,29,0,0,0
60,13,31,51,2,25,0,0,0
31,16,7,72,0,38,1,1,10
33,22,37,85,4,25,4,0,0
40,14,81,45,5,24,0,0,0
14,34,9,75,1,31,2,0,0
34,33,75,53,0,38,5,0,0
30,14,6,81,4,30,4,0,0
31,34,13,45,2,32,3,1,10
11,25,41,79,2,34,5,1,8
39,25,30,48,4,21,2,0,0
15,11,14,53,2,29,2,0,0
14,18,66,51,2,23,3,0,0
16,25,9,78,4,40,3,0,0
47,12,57,56,4,30,3,0,0
11,25,53,85,1,40,0,0,0
48,12,44,57,2,27,1,1,10
60,35,34,69,4,40,5,0,0
32,16,39,66,2,25,2,1,12
14,13,80,84,4,23,2,0,0
48,35,34,40,0,31,2,1,5
44,17,21,73,1,29,4,0,0
16,28,80,69,3,21,3,0,0
26,31,30,83,3,34,0,0,0
56,20,80,89,4,25,1,0,0
27,34,57,77,2,24,2,0,0
43,32,34,50,0,20,2,1,5
16,36,11,89,3,25,0,0,0
57,35,11,60,0,23,1,1,13
55,18,2,47,5,23,3,0,0
36,34,57,74,2,26,4,1,10
19,22,30,47,4,20,5,0,0
20,33,17,80,2,39,2,0,0
20,32,10,60,5,25,4,0,0
40,34,89,68,5,25,3,0,0
56,32,83,51,2,25,0,0,0
31,13,76,51,1,31,0,0,0
43,23,76,44,1,38,3,0,0
12,17,78,66,3,27,4,0,0
21,32,92,84,2,24,3,0,0
22,35,26,67,0,30,5,1,16
48,17,34,60,5,24,5,0,0
20,29,89,66,3,23,4,0,0
55,11,83,49,2,32,1,0,0
18,34,97,54,2,34,1,1,14
43,13,16,64,1,39,2,1,7
23,14,7,47,5,35,0,0,0
30,28,99,43,4,34,5,0,0
58,25,0,75,0,32,2,1,8
16,28,85,42,5,31,1,0,0
35,14,78,75,1,29,2,0,0
40,34,76,71,4,29,1,0,0
51,18,11,62,0,32,2,0,0
60,27,39,83,2,40,0,0,0
53,23,17,49,2,31,3,1,12
50,24,3,48,2,22,1,1,12
51,28,11,76,0,20,0,1,13
15,32,3,62,2,26,0,0,0
22,33,33,85,1,29,0,0,0
39,30,74,53,5,39,2,0,0
12,19,46,40,4,21,0,0,0
12,10,91,46,2,33,4,1,11
58,18,65,74,3,34,3,0,0
47,30,55,87,0,26,4,0,0
19,20,32,47,4,25,0,0,0
10,13,30,53,1,21,1,1,15
35,23,14,79,1,32,4,1,9
51,32,81,51,4,24,0,0,0
53,35,74,61,0,34,4,0,0
36,25,76,88,1,23,3,0,0
50,15,20,64,2,38,0,0,0
37,35,28,78,4,34,1,0,0
60,13,67,78,3,37,0,0,0
25,19,11,45,3,28,3,0,0
20,23,91,42,5,30,3,0,0
43,34,71,72,5,23,3,0,0
12,16,47,84,0,22,0,0,0
27,31,90,84,5,40,0,0,0
28,34,44,40,0,27,1,1,19
10,17,13,57,5,32,0,0,0
32,14,71,80,3,32,4,0,0
38,24,45,57,1,35,3,1,6
18,10,52,90,0,32,0,0,0
33,34,48,80,2,40,5,0,0
54,10,53,84,1,38,2,0,0
49,27,46,48,2,38,0,1,15
23,27,13,61,2,26,5,0,0
40,19,89,58,5,21,0,0,0
27,19,72,85,5,20,1,0,0
39,36,94,89,2,33,3,0,0
47,34,86,64,2,31,0,1,6
41,24,87,87,1,37,2,0,0
12,16,31,49,1,29,0,0,0
16,24,94,80,5,33,4,0,0
39,28,38,83,4,40,1,0,0
33,35,62,45,4,37,5,0,0
38,27,57,87,0,26,1,0,0
59,32,98,71,1,27,3,0,0
46,23,1,86,0,28,4,0,0
44,18,72,55,4,20,1,0,0
36,25,2,53,3,30,4,0,0
25,34,68,70,2,40,5,1,12
17,31,99,41,2,34,4,1,10
36,16,89,58,4,33,1,0,0
52,18,24,69,3,37,5,0,0
12,17,99,43,5,24,2,0,0
27,21,90,56,0,28,0,1,5
25,16,31,69,4,23,3,0,0
21,35,87,86,5,36,1,0,0
42,19,0,50,3,31,1,0,0
30,28,61,61,4,31,3,0,0
29,10,13,87,2,36,0,0,0
41,25,88,53,3,23,4,0,0
40,24,47,68,4,24,1,0,0
15,26,33,54,4,26,5,0,0
43,18,50,82,3,25,4,0,0
54,15,52,78,5,32,4,0,0
21,12,92,59,5,27,2,0,0
26,25,47,84,4,40,5,0,0
52,27,33,41,2,38,3,0,0
21,11,69,62,2,39,3,0,0
39,17,95,51,4,27,3,0,0
55,23,64,70,3,32,0,0,0
19,25,97,80,2,33,2,1,9
44,19,8,63,3,29,2,0,0
31,10,6,55,2,39,0,1,15
26,18,66,76,0,31,0,0,0
16,32,19,87,4,39,4,0,0
51,33,60,81,3,29,0,0,0
25,34,62,52,4,30,0,0,0
48,32,15,72,5,37,4,0,0
16,28,7,85,4,39,5,0,0
45,11,71,79,2,38,2,1,13
26,16,35,58,5,30,4,0,0
23,27,99,45,1,36,4,1,7
39,25,2,77,5,22,2,0,0
42,14,4,55,3,33,3,0,0
37,24,34,60,2,21,5,1,5
30,30,42,51,3,20,2,0,0
11,18,29,56,1,36,5,0,0
29,18,78,72,5,37,3,0,0
38,33,55,61,5,32,0,0,0
24,10,12,48,3,20,4,0,0
60,36,39,72,5,26,5,0,0
47,23,34,49,0,23,5,0,0
36,14,10,41,2,24,5,0,0
20,31,42,77,1,27,1,0,0
47,15,53,73,0,24,1,0,0
33,14,100,48,5,36,1,0,0
33,14,91,49,5,26,3,0,0
42,25,93,78,1,25,5,0,0
27,34,87,45,4,31,3,0,0
43,18,3,50,3,30,0,0,0
39,24,3,66,3,36,5,0,0
24,14,22,66,1,32,4,1,14
33,26,69,69,2,26,2,0,0
52,14,93,47,2,31,4,0,0
59,23,73,51,1,37,2,0,0
28,13,48,87,5,24,0,0,0
29,28,5,64,0,39,5,1,7
53,32,76,87,4,20,2,0,0
49,12,93,67,0,38,4,0,0
18,20,99,66,2,37,0,1,7
57,28,32,54,3,32,5,0,0
37,16,2,87,5,39,4,0,0
27,19,9,48,1,40,4,0,0
48,33,100,75,3,38,5,0,0
26,11,93,52,4,36,4,0,0
58,26,61,86,5,21,2,0,0
50,31,48,48,4,25,4,0,0
42,31,19,85,2,23,5,0,0
30,25,5,57,4,38,1,0,0
19,24,57,68,3,23,0,0,0
33,19,93,62,5,24,4,0,0
53,28,24,62,0,31,1,1,13
55,16,59,69,5,28,4,0,0
16,28,6,80,2,21,4,0,0
54,15,94,51,4,30,1,0,0
45,14,71,77,0,38,1,1,8
41,21,92,73,3,36,3,0,0
60,25,46,50,2,24,0,1,14
57,22,82,41,3,26,2,0,0
23,12,37,62,2,32,3,1,13
47,20,54,54,5,23,3,0,0
42,25,26,63,1,32,4,0,0
53,18,35,41,1,30,2,1,12
55,28,11,49,5,28,2,0,0
48,31,8,68,0,20,3,0,0
47,33,95,56,2,25,5,1,8
16,18,79,54,5,32,4,0,0
18,22,11,66,3,34,1,0,0
33,29,20,71,4,23,2,0,0
13,34,10,78,2,29,0,0,0
51,14,46,46,2,39,4,1,12
37,35,31,69,4,30,4,0,0
56,16,85,46,4,36,0,0,0
56,32,51,73,0,25,2,1,11
40,25,54,56,0,39,5,1,9
56,22,20,83,5,24,3,0,0
58,33,26,66,1,39,3,0,0
17,18,37,66,4,39,2,0,0
14,32,43,59,2,25,5,1,10
39,16,73,50,3,36,2,0,0
56,25,28,86,3,34,4,0,0
44,32,26,49,5,33,2,0,0
55,32,7,78,3,22,0,0,0
53,21,10,74,2,37,5,1,8
59,25,5,59,5,28,4,0,0
18,25,99,65,4,23,4,0,0
35,26,37,54,5,24,4,0,0
29,29,14,79,4,24,5,0,0
40,34,14,47,3,20,3,0,0
